L1,Proficiency,Text,level
English,Lower beginner,Me llamo es Helena. Ahora mismo soy estudiante en universidad Georgia State. Yo soy trabajadora en el restaurante. Yo soy mucho interesante en espanol. Yo quiero aprender hablar espanol con mi amigos. !Mi planes para el futero es estudiar mas espanol!,A1
English,Lower beginner,"La Region donde vive es EE.UU. Tengo vive en Georgia. Me mama y papa viven en Georgia. EE.UU es viver muy bien. Diferente regions mucho calor y otros mucho frio. En inverino, Georgia es frio. Inverino es diciembre y februro. Prefiere el inverino porque los holidays y me cumpleonous es en diciembre.",A1
English,Lower beginner,Hola! Como Esta? <br/>  !No hablo espanol! Muy dicifil! Jennifer Lopez es muy talentoso. Ella es vive en norteamericano con Senor Anthony.Senora Lopez tiene muy amigos y amigas famosa en Holllywood. Ella canta es muy mal. !Muy Mal! Jennifer Lopez es bonita y delgada y interesante. Ella es tanto. Es de donde Nueva York. Ella es muy mal actriz.,A1
English,Lower beginner,Pienso que la nueva ley anti tabacco no es correcta en todo. Creo que desde que somos un contry libre que debemos ser capaces de hacer lo que queremos. Que medios que si personas quieren fumar y matar thereselves entonces usted los debe permitir. Por qué debe salimos de nuestra manera de cerciorarse ellos permanecen sano. Pienso que la ley es muy muda. Soy un creyente fuerte que usted debe ser capaz de hacer lo que usted quiere. Esta nueva ley le empuja un liitle a lejos. No a muchas personas ser án apenas capaz de dejar de fumar porque alguien los dice también. ¿Tomará tiempo para ellos dejar y cuántas personas todavía lo harían aunque no sea en voz alta? Tenemos el material como que pasando diario en nuestras vidas. Principalmente ellos acaban de malgastar más tu tiempo si ellos trataron de pasar la ley anti tabacco. Honestamente hago ni pienso que la ley hace aún realmente el paso a causa de todas las personas que fuman.  <br/>  Al hacer esta investigación yo aprendí que hay muchas razones por qué ellos quieren pasar esta ley pero su son muchas razones por qué ellos no quieren pasar esta ley. En total yo pienso que si las personas quieren fumar que ellos deben ser en voz alta porque no no son una droga y si ellos hacen entonces ellos vivirán más largo y serán más sano. Digo que eso permite que las personas hagan lo que ellos quieren desde que ellos han sido en voz alta para fumar tan largo usted apenas no puede tomar que lejos de ellos ahora.,A1
English,Lower beginner,"Hola, Me llamo Brittnay! yo tengo dos personas famosa! Mi favorita es Tyra Banks. Ella es la primera negrea modelo en todo el mundo.Ella es muy bonita y tienes un grande crozon. Ella ayuda mucho con el ninos con no padres . Mucho estrellas ayuda nada, pero no Tyra. Ella das su corzon todo! Tyra tambien ayuda mi! Tyra das mi familia 10,000 dolares para un nuevo casa. Mi familia nunca tiene dinero. Mi papa y mi mama tienes muchos problemas con uds.salud! Mi papa no tienes manos y mi mama no tienes tambien. Yo trababjo much para mi familia. Nosotros no tengo carro y yo nunca tiene un casa! Yo escribe Tyra Banks sobre mis problems y ella ayuda mi mucho. Ella llamo mi abuela y mi abuela llamo mi. Tyra es la mujer persona en la mundo! <br/>  -Mi segunda persona famosa es Shakeria. Shakeria es muy bonita y bailar muy bueno! Shakeria ayuda mucho el latina communidad! Yo soy columbian tambien! Mi papa es desde Columbia y muy mama es Negera! Me gusta mucho Shakeria's musicia tambien.Ella cantas muy bueno! Ella tiens mucho bonita pelo y muy bonita dientes. Yo siempre quiero hablao preguntas para ella! Mi primera es,""Como estas columbia?"".( Yo quiero visito Columbia pero mi familia no tengo dinero!) 2. Tienes novio? (Mi hermano quieres) 3. Tienes un perro? 4. Que color es tu pelo? 5. Porque tu bailas muy bueno? 6. Que es tu favorita color? Shakeria tambien ayudas mucho el gentes de Latinas! En Agosto ella tiene a concerto en una Discoteca para no dinero! En el pasado, latinos es muy chica pero hoy, Latinos es muy popular!En todo el mundo yo tengo dos personas famosa! Lo siento yo tengo dos, pero dos chicas es mi favorita!",A1
Japanese,Lower beginner,La rana está entre en una botella de vidrio. <br/> Escapa de una botella de vidrio. <br/> Una niña y un perro están tristes. <br/> Ellos disen grande. <br/> Después ellos ven a la rana.,A1
Greek,Lower beginner,"Charlie Chaplin, en uno de sus paseos, acaba manchándose de los escombros de un edificio. De repente, ve que a su lado hay un bebé abandonado en la calle. No sabe qué hacer e intenta deshacerse de él, dándole a unos paseantes. Por mala suerte, no lo consigue porque el guardia no le pierde de vista. En una carta que encuentra en el cochecito del bebé pone “Ama y cuida al niño huérfano"". Entonces parece decidida a sostener al bebé.",A1
English,Lower beginner,Me planes para el futuro es a tengo un bien life. Yo plane en being un Physical Therapist. Yo necesito a tengo un bien job a supporte mi futuro familia.  <br/>  Yo necesito a universidad graduada primero. Yo quiera a tener una grande familia y grande casa. Yo quiera a tener tres perros.  <br/>  Yo quiera a own me own Physical Therapy building. Entonces yo pueda haga mucho dinero. Estos sea me planes pare el futuro.,A1
Japanese,Lower beginner,"Cervantes es la famoso novelista en Español. Nacido en Madrid, tambien se ha criado en Madrid. Ha experimentado muchas guerras.Después, escribía Don Quijote. Esta novera ha pasado a conocimiento de todo el mundo y ahora es conocido mundialmente.En la Plaza de Oriente, hay edificios modernos, y en el centro están las estatuas de Cervantes, Don Quijote y Sancho Panza.",A1
English,Lower beginner,"Me gusta Justin Timberlake. Justin es muy interesante y fascinato. Justin es alto, rubio y muy guapo. Justin es muy famosa persona y nuevo actor. Es muy roca. Justin cuplianos anos 5 de mayo.",A1
