Unnamed: 0;Number;Word;Sentence Spelling;Sentence;PpW2;PpW3;PpW4;PpW5;PpKenlm;Mother tongue;Level
53956;38290;.;No recuerdo quién fue director+(a) director+(a) .;No recuerdo quién fue director+(a) director+(a) .;4935.440739;7894.825367;9859.754361;10046.59211;33261.52358;Inglés;C1
;634419;voy;Apenas para avisar que voy a llegar tarde hoy porque después de la clase voy con mis amigas a casa de María .;Apenas para avisar que voy a llegar tarde hoy porque después de la clase voy con mis amigas a casa de Maria .;5390.592395;13624.7246;24718.45322;31443.72412;507.4703111;Portugués;A1
;492435;lugares;Pienso que fumar debe ser prohibido , especialmente en lugares donde hay mucha gente .;Pienso que fumar debe ser prohibido , especialmente en lugares donde hay mucha gente .;4295.478049;9129.695596;14100.63569;16184.55775;2156.641234;Ruso;B2
61692;113485;de;Mis actividades preferidas son nadar , esquiar , leer , y el ayudo informático de cualquier ser humano .;Mis actividades preferidas son nadar , eskiar , leer , y el ayudo informatico de cualquier ser humano .;11320.07908;20287.22724;27890.22459;29868.15141;41580.82014;Árabe;B2
25922;143663;el;Viven en otros estados de el País .;Viven en otros estados de el País .;645.436794;1394.222521;2168.83294;2579.56293;4631.701291;Portugués;A1
;600711;teléfono;O también puedes llamar me por mi teléfono , 0987619777 .;O también puedes llamar me por mi teléfono , 0987619777 .;14610.12271;23504.15704;22589.96358;18524.31066;15489.39833;Chino mandarín;B1
;202448;me;Si tenían prisa me llamarán por teléfono , por favor .;Si tenían prisa me llmarán por telefono , por_favor .;53961.03491;47057.10672;33576.79631;23206.52106;40171.58269;Chino mandarín;A1
;501566;menos;te echo de menos te saludo Ibrahim;te hecho de menos te salodo ibrahim;32956.23933;36281.50108;26751.01718;18447.82497;2655.190164;Árabe;B1
84915;453949;gustaría;Me gustaría saber;Me gustaría saber;27694.30928;14619.2568;8138.489608;4916.534359;4796.604961;Ruso;B1
53400;583724;Señores;Estimados Señores;Estimdos Señores;184295.2106;32707.77724;11085.19915;5329.540449;19890.86192;Árabe;C1
17627;178797;la;Sin embargo cuando estamos en el camino , él dijo que acababa de obtener la licencia de conducir y era su primera vez conducir solo .;Sin_embargo cuando estamos en el camino , él dijo que acababa de obtener la licencia de conducir y era su primera vez conducir solo .;2923.795069;7513.24767;14755.43794;21651.75304;600.7890789;Chino mandarín;B1
160476;524284;Nosotros;Nosotros vamos en un restaurante .;Nosotros vamos en un restarante .;11660.7478;12643.14932;9749.12654;7020.933166;7407.031047;Ruso;A1
197898;365176;buenos;buenos días .;buenos días .;1199.613709;1244.508161;1078.863512;890.2808371;1326.552777;Francés;B1
24924;569768;respecto_a;Le escribo para expresar le mi indignación respecto a mi factura de el mes pasado .;Le escribo para expresar le mi indignación respecto_a mi factura de el mes pasado .;17709.52578;29005.76088;30604.499;27164.378;3393.681803;Francés;C1
23506;381643;compartir;Sería suficiente organizar el espacio et compartir lo de manera justa .;Sería suficiente organizar el espacio et compartir lo de manera justa .;9050.154786;19718.31618;22672.0593;20530.67065;6045.696066;Francés;B2
124078;122041;de;Esta decisión ha generado muchos debates sobre la legitimad de el gobierno brasileño de impedir que las personas puedan practicar algo que les gusta en lugares públicos .;Esta decisión ha generado muchos debates sobre la legimidad de el gobierno brasileño de impedir que las personas puedan practicar algo que les gusta en lugares públicos .;4811.823684;13158.69151;24446.46981;32905.41068;2363.047995;Portugués;B2
90592;323738;y;Mis ojos son verdes y tengo el pelo corto y castaño .;Mis ojos son verdes y tengo el pelo corto y castaño .;5820.773381;11313.28104;14485.94828;14556.19945;1459.715435;Árabe;A1
125064;44578;.;Esto soltera .;Esto soltera .;5566.143841;3968.791844;2594.993398;1804.218605;30194.11429;Chino mandarín;A1
87919;49722;.;Pero a Rafa nada puede parar .;Pero a Rafa nada puede parar .;6952.193833;10610.32661;9882.289168;7863.682404;10418.1202;Ruso;C1
;199075;los;También me gusta mucho el norte en este periodo porque los precios de muchos productos son bajos y aprovecho este oportunidad para comprar muchas cosas que necesito .;También me gusta mucho el norte en este periodo porque los precios de muchos productos son bajos y aprovecho este oportunidad para comprar muchas cosas aue necesito .;7082.256595;19358.80824;34035.80468;42941.43835;1711.14427;Árabe;A2
;407240;día;Creo que la lengua española es muy bonita , interesante y compleja , y a cada día su importancia en el mundo aumenta .;Creo que la lengua española es muy bonita , interessante y compleja , y a cada día su impotancia en el mundo aumenta .;3044.441417;8234.87447;17245.33491;24508.23086;1876.670648;Portugués;B2
;297049;una;Ellos han siendo una segunda familia a mi .;Ellos han siendo una segunda familia a mi .;2564.846232;7081.817926;9136.492566;8741.678912;2506.079404;Inglés;A2
78964;610732;todos;Como lo he estudiado con mucho afán todos los días , soy capaz de conocer lo bonito de esta lengua y me he enamorado de ella .;Como lo he estudiado con mucho afán todos los días , soy capaz de conocer lo bonito de esta lengua y me he enamorado de ella .;3624.89509;10289.58311;18842.00057;25725.33606;409.6930888;Chino mandarín;B2
183329;336088;);Después de la elección , yo , como una persona de tres minorías ( soy mujer , negra y chicana ) , comencé mejorar me en todos aspectos de mi vida para destruir los estereotipos de los minorías que soy .;Después_de la elección , yo , como una persona de tres minorías ( soy mujer , negra y chicana ) , comenzé mejorar me en todos aspectos de mi vida para destruir los estereotipos de los mminorías que soy .;5949.721932;19190.03221;38998.94871;55634.00491;5674.999094;Inglés;B2
65483;316324;y;Yo gusto viajar de semana , mirar a el cine , y visitar museos .;Yo gusto viajar de semana , mirar a el cine , y visitar museos .;3444.418726;8563.108072;13268.92856;15166.54051;23138.31463;Inglés;A1
6084;341115;abrazos;abrazos;abrazos;67431.12099;11659.9144;4346.37253;2311.751914;412.77452;Inglés;A2
16592;28894;.;Ama a los animales y viajar .;Ama a los animales y viajar .;1585.759961;2864.486122;3678.689467;3784.565965;1614.910579;Ruso;A2
;98575;con;La película fue estrenada en el año 1994 y fue recibida con mucho éxito , crítica y debate .;La pelicula fue estrenada en el anho 1994 y fue recibida con mucho exito , crtitica y debate .;6509.751967;13041.4877;19021.42534;21635.84316;18110.14726;Ruso;C1
